Longitude,Latitude,Grower - Name,Farm - Name,Field - Name,Area Count,Crop Flow(bu/h),Crop Flow (Mass)(lb/s),Date / Time,Differential Valid,Elevation(ft),Moisture(%),Speed(mph),Swath Width(ft),Yield (Dry)(bu/ac),Yield (Wet)(bu/ac),Yield Mass (Dry)(lb/ac),Yield Mass (Wet)(lb/ac)
-86.18812435,40.98219728,AULT,HOME,BACK LANE44,On,208.89,3.482,7/9/2020,No,801.16,13.50,2.467,9.560,73.06,73.06,4383.6,4383.6
-86.18812297,40.98220746,AULT,HOME,BACK LANE44,On,284.94,4.749,7/9/2020,No,801.30,13.50,2.517,35.00,26.69,26.69,1601.3,1601.3
-86.18812158,40.98221771,AULT,HOME,BACK LANE44,On,271.83,4.530,7/9/2020,No,801.40,13.50,2.615,35.00,24.50,24.50,1470.2,1470.2
-86.18812010,40.98222820,AULT,HOME,BACK LANE44,On,363.98,6.066,7/9/2020,No,801.43,13.50,2.635,35.00,32.56,32.56,1953.5,1953.5
-86.18811871,40.98223900,AULT,HOME,BACK LANE44,On,351.99,5.867,7/9/2020,No,801.34,13.50,2.673,35.00,31.04,31.04,1862.3,1862.3
-86.18811691,40.98224948,AULT,HOME,BACK LANE44,On,451.26,7.521,7/9/2020,No,801.43,13.50,2.615,35.00,40.68,40.68,2440.6,2440.6
-86.18811503,40.98226008,AULT,HOME,BACK LANE44,On,603.93,10.07,7/9/2020,No,801.45,8.700,2.631,35.00,54.11,54.11,3246.9,3246.9
-86.18811336,40.98227044,AULT,HOME,BACK LANE44,On,587.65,9.794,7/9/2020,No,801.50,11.50,2.635,35.00,52.57,52.57,3154.0,3154.0
-86.18811192,40.98228094,AULT,HOME,BACK LANE44,On,495.68,8.261,7/9/2020,No,801.45,13.60,2.664,35.00,43.80,43.86,2628.3,2631.3
-86.18811077,40.98229160,AULT,HOME,BACK LANE44,On,665.21,11.09,7/9/2020,No,801.47,15.90,2.635,35.00,57.85,59.50,3471.2,3570.2
-86.18810975,40.98230233,AULT,HOME,BACK LANE44,On,603.33,10.06,7/9/2020,No,801.59,17.10,2.664,35.00,51.16,53.38,3069.5,3202.8
-86.18810909,40.98231306,AULT,HOME,BACK LANE44,On,624.58,10.41,7/9/2020,No,801.60,17.50,2.631,35.00,53.38,55.97,3202.6,3357.9
-86.18810818,40.98232373,AULT,HOME,BACK LANE44,On,721.91,12.03,7/9/2020,No,801.59,17.40,2.664,35.00,60.99,63.87,3659.5,3832.3
-86.18810756,40.98233430,AULT,HOME,BACK LANE44,On,840.54,14.01,7/9/2020,No,801.56,16.20,2.669,35.00,71.93,74.24,4315.5,4454.5
-86.18810688,40.98234499,AULT,HOME,BACK LANE44,On,843.27,14.05,7/9/2020,No,801.61,16.60,2.633,35.00,72.79,75.50,4367.4,4529.8
-86.18810650,40.98235564,AULT,HOME,BACK LANE44,On,790.00,13.17,7/9/2020,No,801.71,17.10,2.655,35.00,67.21,70.13,4032.8,4207.9
-86.18810624,40.98236631,AULT,HOME,BACK LANE44,On,730.21,12.17,7/9/2020,No,801.77,17.00,2.671,35.00,61.84,64.44,3710.1,3866.6
-86.18810575,40.98237703,AULT,HOME,BACK LANE44,On,818.85,13.65,7/9/2020,No,801.71,16.50,2.628,35.00,70.89,73.43,4253.3,4406.1
-86.18810558,40.98238776,AULT,HOME,BACK LANE44,On,938.06,15.63,7/9/2020,No,801.65,17.20,2.669,35.00,79.31,82.86,4758.7,4971.4
-86.18810559,40.98239859,AULT,HOME,BACK LANE44,On,866.98,14.45,7/9/2020,No,801.69,17.60,2.660,35.00,73.19,76.84,4391.6,4610.1
-86.18810525,40.98240930,AULT,HOME,BACK LANE44,On,769.73,12.83,7/9/2020,No,801.76,17.30,2.653,35.00,65.39,68.39,3923.1,4103.4
-86.18810528,40.98242018,AULT,HOME,BACK LANE44,On,958.40,15.97,7/9/2020,No,801.77,16.80,2.664,35.00,81.56,84.80,4893.6,5087.7
-86.18810512,40.98243072,AULT,HOME,BACK LANE44,On,933.58,15.56,7/9/2020,No,801.71,17.30,2.687,35.00,78.31,81.91,4698.8,4914.7
-86.18810502,40.98244113,AULT,HOME,BACK LANE44,On,1123.8,18.73,7/9/2020,No,801.75,17.60,2.655,35.00,95.03,99.76,5701.9,5985.7
-86.18810503,40.98245167,AULT,HOME,BACK LANE44,On,1098.0,18.30,7/9/2020,No,801.79,17.40,2.628,35.00,94.03,98.47,5641.9,5908.3
-86.18810457,40.98246245,AULT,HOME,BACK LANE44,On,1121.3,18.69,7/9/2020,Yes,801.83,17.00,2.660,35.00,95.35,99.37,5721.1,5962.4
-86.18810595,40.98247457,AULT,HOME,BACK LANE44,On,1064.8,17.75,7/9/2020,Yes,801.79,17.00,2.678,35.00,89.94,93.74,5396.5,5624.1
-86.18810498,40.98248512,AULT,HOME,BACK LANE44,On,995.19,16.59,7/9/2020,Yes,801.81,17.60,2.655,35.00,84.16,88.35,5049.5,5300.8
-86.18810390,40.98249528,AULT,HOME,BACK LANE44,On,992.24,16.54,7/9/2020,Yes,801.83,17.20,2.628,35.00,85.18,88.98,5110.7,5339.0
-86.18810297,40.98250532,AULT,HOME,BACK LANE44,On,1129.9,18.83,7/9/2020,Yes,801.85,16.80,2.693,35.00,95.12,98.89,5707.1,5933.4
-86.18810294,40.98251629,AULT,HOME,BACK LANE44,On,1162.8,19.38,7/9/2020,Yes,801.87,17.00,2.669,35.00,98.55,102.71,5913.3,6162.6
-86.18810253,40.98252722,AULT,HOME,BACK LANE44,On,1100.0,18.33,7/9/2020,Yes,801.89,17.20,2.669,35.00,93.01,97.16,5580.4,5829.7
-86.18810231,40.98253768,AULT,HOME,BACK LANE44,On,1108.1,18.47,7/9/2020,Yes,801.93,16.80,2.631,35.00,95.50,99.29,5730.1,5957.4
-86.18810209,40.98254791,AULT,HOME,BACK LANE44,On,1009.5,16.83,7/9/2020,Yes,802.09,16.50,2.664,35.00,86.22,89.32,5173.3,5359.1
-86.18810158,40.98255840,AULT,HOME,BACK LANE44,On,943.23,15.72,7/9/2020,Yes,802.33,16.90,2.660,35.00,80.31,83.59,4818.4,5015.6
-86.18810118,40.98256938,AULT,HOME,BACK LANE44,On,968.82,16.15,7/9/2020,Yes,802.54,17.20,2.635,35.00,82.96,86.66,4977.3,5199.7
-86.18809961,40.98257763,AULT,HOME,BACK LANE44,On,907.67,15.13,7/9/2020,Yes,801.53,16.90,2.671,35.00,76.96,80.10,4617.4,4806.3
-86.18809962,40.98258843,AULT,HOME,BACK LANE44,On,885.87,14.76,7/9/2020,Yes,801.65,17.10,2.678,35.00,74.74,77.98,4484.3,4679.1
-86.18809980,40.98260017,AULT,HOME,BACK LANE44,On,865.59,14.43,7/9/2020,Yes,801.71,17.50,2.908,35.00,66.92,70.16,4015.1,4209.7
-86.18809993,40.98261151,AULT,HOME,BACK LANE44,On,807.17,13.45,7/9/2020,Yes,801.73,17.60,2.718,35.00,66.69,70.00,4001.2,4200.3
-86.18810008,40.98262272,AULT,HOME,BACK LANE44,On,767.12,12.79,7/9/2020,Yes,801.79,17.10,2.763,35.00,62.73,65.45,3763.7,3927.2
-86.18810002,40.98263353,AULT,HOME,BACK LANE44,On,834.12,13.90,7/9/2020,Yes,801.85,17.10,2.734,35.00,68.93,71.93,4136.0,4315.6
-86.18810004,40.98264452,AULT,HOME,BACK LANE44,On,804.41,13.41,7/9/2020,Yes,801.90,17.50,2.720,35.00,66.48,69.71,3989.0,4182.5
-86.18809951,40.98265547,AULT,HOME,BACK LANE44,On,821.73,13.70,7/9/2020,Yes,802.01,17.30,2.736,35.00,67.69,70.80,4061.4,4248.0
-86.18809898,40.98266673,AULT,HOME,BACK LANE44,On,839.18,13.99,7/9/2020,Yes,802.04,16.50,2.725,35.00,70.08,72.60,4205.0,4356.0
-86.18809858,40.98267771,AULT,HOME,BACK LANE44,On,824.62,13.74,7/9/2020,Yes,802.14,16.60,2.736,35.00,68.50,71.05,4110.2,4263.0
-86.18809791,40.98268880,AULT,HOME,BACK LANE44,On,981.39,16.36,7/9/2020,Yes,802.38,17.00,2.812,35.00,78.94,82.27,4736.5,4936.2
-86.18809700,40.98270027,AULT,HOME,BACK LANE44,On,1017.1,16.95,7/9/2020,Yes,802.58,16.70,2.823,35.00,81.78,84.92,4906.8,5095.3
-86.18809633,40.98271157,AULT,HOME,BACK LANE44,On,996.93,16.62,7/9/2020,Yes,802.72,16.50,2.836,35.00,79.97,82.85,4798.4,4970.8
-86.18809592,40.98272267,AULT,HOME,BACK LANE44,On,1022.6,17.04,7/9/2020,Yes,802.72,16.50,2.801,35.00,83.08,86.07,4985.0,5164.1
-86.18809518,40.98273423,AULT,HOME,BACK LANE44,On,1019.8,17.00,7/9/2020,Yes,802.90,17.00,2.854,35.00,80.81,84.21,4848.4,5052.9
-86.18809441,40.98274543,AULT,HOME,BACK LANE44,On,933.76,15.56,7/9/2020,Yes,803.00,17.00,2.789,35.00,75.71,78.91,4542.7,4734.3
-86.18809381,40.98275677,AULT,HOME,BACK LANE44,On,836.38,13.94,7/9/2020,Yes,803.09,16.70,2.823,35.00,67.25,69.84,4035.1,4190.1
-86.18809325,40.98276765,AULT,HOME,BACK LANE44,On,757.93,12.63,7/9/2020,Yes,803.18,16.70,2.823,35.00,60.94,63.29,3656.6,3797.1
-86.18809274,40.98277904,AULT,HOME,BACK LANE44,On,874.65,14.58,7/9/2020,Yes,803.14,17.20,2.798,35.00,70.52,73.67,4231.4,4420.4
-86.18809217,40.98279049,AULT,HOME,BACK LANE44,On,1130.3,18.84,7/9/2020,Yes,803.43,16.90,2.852,35.00,89.74,93.41,5384.6,5604.9
-86.18809159,40.98280195,AULT,HOME,BACK LANE44,On,1151.2,19.19,7/9/2020,Yes,803.49,16.50,2.825,35.00,92.71,96.04,5562.8,5762.7
-86.18809127,40.98281330,AULT,HOME,BACK LANE44,On,1167.7,19.46,7/9/2020,Yes,803.65,16.50,2.832,35.00,93.82,97.19,5629.3,5831.6
-86.18809070,40.98282450,AULT,HOME,BACK LANE44,On,1009.2,16.82,7/9/2020,Yes,803.72,16.90,2.821,35.00,81.01,84.33,4860.8,5059.7
-86.18809046,40.98283583,AULT,HOME,BACK LANE44,On,1049.5,17.49,7/9/2020,Yes,803.96,16.80,2.834,35.00,83.96,87.29,5037.5,5237.3
-86.18809048,40.98284716,AULT,HOME,BACK LANE44,On,1041.8,17.36,7/9/2020,Yes,804.19,16.60,2.787,35.00,84.95,88.11,5097.0,5286.4
-86.18809080,40.98285860,AULT,HOME,BACK LANE44,On,1107.2,18.45,7/9/2020,Yes,804.27,16.50,2.827,35.00,89.10,92.30,5346.0,5538.0
-86.18809069,40.98287006,AULT,HOME,BACK LANE44,On,1187.7,19.80,7/9/2020,Yes,804.47,16.90,2.852,35.00,94.30,98.16,5658.1,5889.6
-86.18809065,40.98288158,AULT,HOME,BACK LANE44,On,1302.5,21.71,7/9/2020,Yes,804.48,16.70,2.843,35.00,103.99,107.98,6239.4,6479.1
-86.18809059,40.98289324,AULT,HOME,BACK LANE44,On,952.19,15.87,7/9/2020,Yes,804.59,16.30,2.841,35.00,76.45,79.01,4586.9,4740.3
-86.18809022,40.98290488,AULT,HOME,BACK LANE44,On,1185.3,19.76,7/9/2020,Yes,804.68,16.00,2.836,35.00,95.66,98.50,5739.5,5910.3
-86.18808977,40.98291622,AULT,HOME,BACK LANE44,On,1125.7,18.76,7/9/2020,Yes,804.78,16.50,2.848,35.00,89.95,93.18,5397.2,5591.1
-86.18808968,40.98292766,AULT,HOME,BACK LANE44,On,1241.8,20.70,7/9/2020,Yes,804.80,16.30,2.832,35.00,100.01,103.36,6000.6,6201.4
-86.18808967,40.98293914,AULT,HOME,BACK LANE44,On,1166.5,19.44,7/9/2020,Yes,804.89,16.30,2.832,35.00,93.95,97.09,5637.0,5825.6
-86.18808935,40.98295083,AULT,HOME,BACK LANE44,On,1209.3,20.15,7/9/2020,Yes,804.94,16.00,2.850,35.00,97.13,100.02,5827.7,6001.2
-86.18808896,40.98296237,AULT,HOME,BACK LANE44,On,1195.1,19.92,7/9/2020,Yes,805.21,16.30,2.872,35.00,94.90,98.08,5694.2,5884.7
-86.18808844,40.98297416,AULT,HOME,BACK LANE44,On,972.43,16.21,7/9/2020,Yes,805.37,16.50,2.852,35.00,77.58,80.37,4654.8,4822.1
-86.18808813,40.98298590,AULT,HOME,BACK LANE44,On,1044.5,17.41,7/9/2020,Yes,805.25,15.60,2.825,35.00,85.03,87.15,5101.9,5228.9
-86.18808805,40.98299746,AULT,HOME,BACK LANE44,On,806.49,13.44,7/9/2020,Yes,805.26,15.20,2.821,35.00,66.07,67.39,3964.1,4043.6
-86.18808814,40.98300898,AULT,HOME,BACK LANE44,On,695.55,11.59,7/9/2020,Yes,805.25,15.80,2.892,35.00,55.18,56.68,3310.6,3401.1
-86.18808782,40.98302053,AULT,HOME,BACK LANE44,On,354.60,5.910,7/9/2020,Yes,805.35,16.40,2.854,35.00,28.30,29.28,1698.1,1757.0
-86.18808778,40.98303210,AULT,HOME,BACK LANE44,On,377.41,6.290,7/9/2020,Yes,805.29,16.10,2.827,35.00,30.52,31.46,1831.0,1887.8
-86.18808787,40.98304342,AULT,HOME,BACK LANE44,On,268.57,4.476,7/9/2020,Yes,805.26,15.20,2.874,35.00,21.59,22.02,1295.5,1321.4
-86.18808776,40.98305488,AULT,HOME,BACK LANE44,On,190.82,3.180,7/9/2020,Yes,805.16,15.30,2.816,35.00,15.64,15.97,938.30,958.24
-86.18808773,40.98306619,AULT,HOME,BACK LANE44,On,107.48,1.791,7/9/2020,Yes,805.23,15.50,2.854,35.00,8.670,8.876,520.22,532.53
-86.18808724,40.98307757,AULT,HOME,BACK LANE44,On,63.73,1.062,7/9/2020,Yes,805.41,15.70,2.832,35.00,5.170,5.305,310.19,318.29
-86.18808674,40.98308749,AULT,HOME,BACK LANE44,On,17.60,0.293,7/9/2020,Yes,805.39,15.80,0.389,35.00,10.37,10.66,622.44,639.44
-86.18808692,40.98309525,AULT,HOME,BACK LANE44,On,779.81,13.00,7/9/2020,Yes,807.14,17.40,1.497,35.00,117.29,122.83,7037.4,7369.6
-86.18808708,40.98310271,AULT,HOME,BACK LANE44,On,918.20,15.30,7/9/2020,Yes,807.07,17.60,1.758,35.00,117.26,123.10,7035.8,7385.8
-86.18808693,40.98310982,AULT,HOME,BACK LANE44,On,820.84,13.68,7/9/2020,Yes,807.13,17.40,1.776,35.00,104.02,108.94,6241.5,6536.2
-86.18808698,40.98311755,AULT,HOME,BACK LANE44,On,907.77,15.13,7/9/2020,Yes,807.10,16.40,1.888,35.00,109.54,113.34,6572.2,6800.2
-86.18808673,40.98312495,AULT,HOME,BACK LANE44,On,925.82,15.43,7/9/2020,Yes,807.23,16.50,1.828,35.00,115.27,119.41,6916.1,7164.5
-86.18808620,40.98313196,AULT,HOME,BACK LANE44,On,805.23,13.42,7/9/2020,Yes,807.25,16.80,1.812,35.00,100.76,104.75,6045.4,6285.2
-86.18808556,40.98313956,AULT,HOME,BACK LANE44,On,842.08,14.03,7/9/2020,Yes,807.24,16.40,1.857,35.00,103.32,106.91,6199.4,6414.4
-86.18808512,40.98314699,AULT,HOME,BACK LANE44,On,919.99,15.33,7/9/2020,Yes,807.27,16.10,1.814,35.00,115.94,119.54,6956.5,7172.1
-86.18808456,40.98315434,AULT,HOME,BACK LANE44,On,723.12,12.05,7/9/2020,Yes,807.36,16.40,1.879,35.00,87.67,90.71,5260.3,5442.7
-86.18808399,40.98316193,AULT,HOME,BACK LANE44,On,732.79,12.21,7/9/2020,Yes,807.49,16.70,1.854,35.00,89.70,93.14,5381.9,5588.7
-86.18808363,40.98316932,AULT,HOME,BACK LANE44,On,833.86,13.90,7/9/2020,Yes,807.45,16.20,1.823,35.00,104.45,107.81,6266.8,6468.8
-86.18808318,40.98317638,AULT,HOME,BACK LANE44,On,910.58,15.18,7/9/2020,Yes,807.53,16.00,1.854,35.00,112.40,115.74,6743.9,6944.6
-86.18808266,40.98318359,AULT,HOME,BACK LANE44,On,837.97,13.97,7/9/2020,Yes,807.74,16.30,1.845,35.00,103.57,107.03,6214.0,6421.9
-86.18808238,40.98319107,AULT,HOME,BACK LANE44,On,823.40,13.72,7/9/2020,Yes,807.80,16.40,1.852,35.00,101.28,104.79,6076.5,6287.3
-86.18808209,40.98319845,AULT,HOME,BACK LANE44,On,686.53,11.44,7/9/2020,Yes,807.97,15.70,1.843,35.00,85.56,87.79,5133.7,5267.7
-86.18808169,40.98320598,AULT,HOME,BACK LANE44,On,945.00,15.75,7/9/2020,Yes,807.92,16.00,1.888,35.00,114.57,117.98,6874.4,7079.0
-86.18808165,40.98321316,AULT,HOME,BACK LANE44,On,1000.3,16.67,7/9/2020,Yes,808.03,16.30,1.787,35.00,127.65,131.92,7659.2,7915.4
-86.18808128,40.98322061,AULT,HOME,BACK LANE44,On,777.45,12.96,7/9/2020,Yes,808.06,16.00,1.888,35.00,94.26,97.06,5655.6,5823.9
-86.18808092,40.98322809,AULT,HOME,BACK LANE44,On,853.62,14.23,7/9/2020,Yes,808.05,15.90,1.850,35.00,105.75,108.77,6344.9,6526.0
-86.18808075,40.98323539,AULT,HOME,BACK LANE44,On,843.98,14.07,7/9/2020,Yes,808.11,16.30,1.819,35.00,105.85,109.39,6350.9,6563.4
-86.18808077,40.98324268,AULT,HOME,BACK LANE44,On,790.52,13.18,7/9/2020,Yes,808.18,16.50,1.852,35.00,97.12,100.60,5826.9,6036.3
-86.18808067,40.98325007,AULT,HOME,BACK LANE44,On,831.75,13.86,7/9/2020,Yes,808.28,16.10,1.814,35.00,104.82,108.07,6289.3,6484.2
-86.18808071,40.98325732,AULT,HOME,BACK LANE44,On,746.53,12.44,7/9/2020,Yes,808.38,15.80,1.857,35.00,92.26,94.78,5535.4,5686.6
-86.18808040,40.98326574,AULT,HOME,BACK LANE44,On,828.40,13.81,7/9/2020,Yes,808.55,16.10,2.116,35.00,89.50,92.28,5370.1,5536.5
-86.18808052,40.98327411,AULT,HOME,BACK LANE44,On,766.89,12.78,7/9/2020,Yes,808.57,16.30,2.076,35.00,84.26,87.08,5055.6,5224.8
-86.18808068,40.98328262,AULT,HOME,BACK LANE44,On,897.96,14.97,7/9/2020,Yes,808.57,15.60,2.103,35.00,98.22,100.66,5893.0,6039.7
-86.18808082,40.98329115,AULT,HOME,BACK LANE44,On,870.11,14.50,7/9/2020,Yes,808.69,15.60,2.080,35.00,96.19,98.59,5771.7,5915.3
-86.18808071,40.98330003,AULT,HOME,BACK LANE44,On,961.47,16.02,7/9/2020,Yes,808.65,16.00,2.116,35.00,104.00,107.10,6240.1,6425.8
-86.18808071,40.98330862,AULT,HOME,BACK LANE44,On,777.48,12.96,7/9/2020,Yes,808.70,15.80,2.080,35.00,85.75,88.09,5145.0,5285.5
-86.18808059,40.98331705,AULT,HOME,BACK LANE44,On,920.00,15.33,7/9/2020,Yes,808.71,15.40,2.141,35.00,99.08,101.30,5944.5,6078.0
-86.18808057,40.98332622,AULT,HOME,BACK LANE44,On,849.30,14.16,7/9/2020,Yes,808.84,15.60,2.076,35.00,94.10,96.44,5645.8,5786.3
-86.18808073,40.98333443,AULT,HOME,BACK LANE44,On,801.20,13.35,7/9/2020,Yes,808.86,16.00,2.143,35.00,85.58,88.13,5134.8,5287.6
-86.18808100,40.98334319,AULT,HOME,BACK LANE44,On,688.99,11.48,7/9/2020,Yes,808.82,15.70,2.156,35.00,73.40,75.31,4403.9,4518.8
-86.18808114,40.98335192,AULT,HOME,BACK LANE44,On,773.17,12.89,7/9/2020,Yes,808.85,15.20,2.094,35.00,85.33,87.04,5119.9,5222.6
-86.18808104,40.98336045,AULT,HOME,BACK LANE44,On,890.24,14.84,7/9/2020,Yes,808.81,15.60,2.121,35.00,96.55,98.95,5793.1,5937.2
-86.18808075,40.98336909,AULT,HOME,BACK LANE44,On,759.54,12.66,7/9/2020,Yes,808.86,15.80,2.114,35.00,82.44,84.69,4946.5,5081.6
-86.18808047,40.98337759,AULT,HOME,BACK LANE44,On,809.92,13.50,7/9/2020,Yes,808.69,15.50,2.103,35.00,88.69,90.79,5321.6,5447.5
-86.18808004,40.98338628,AULT,HOME,BACK LANE44,On,756.70,12.61,7/9/2020,Yes,808.66,15.20,2.150,35.00,81.34,82.97,4880.5,4978.4
-86.18807950,40.98339486,AULT,HOME,BACK LANE44,On,752.51,12.54,7/9/2020,Yes,808.66,15.80,2.121,35.00,81.42,83.64,4885.2,5018.7
-86.18807934,40.98340331,AULT,HOME,BACK LANE44,On,827.73,13.80,7/9/2020,Yes,808.65,15.80,2.103,35.00,90.32,92.79,5419.3,5567.3
-86.18807923,40.98341167,AULT,HOME,BACK LANE44,On,910.31,15.17,7/9/2020,Yes,808.61,15.50,2.116,35.00,99.05,101.40,5943.3,6084.0
-86.18807954,40.98342027,AULT,HOME,BACK LANE44,On,797.35,13.29,7/9/2020,Yes,808.52,15.40,2.147,35.00,85.60,87.52,5135.9,5251.3
-86.18807992,40.98342893,AULT,HOME,BACK LANE44,On,901.10,15.02,7/9/2020,Yes,808.61,15.80,2.109,35.00,98.01,100.69,5880.9,6041.5
-86.18808043,40.98343741,AULT,HOME,BACK LANE44,On,899.15,14.99,7/9/2020,Yes,808.56,15.90,2.107,35.00,97.79,100.58,5867.4,6034.8
-86.18808110,40.98344559,AULT,HOME,BACK LANE44,On,968.37,16.14,7/9/2020,Yes,808.61,15.20,2.143,35.00,104.42,106.51,6265.3,6390.9
-86.18808160,40.98345423,AULT,HOME,BACK LANE44,On,977.74,16.30,7/9/2020,Yes,808.60,15.20,2.121,35.00,106.54,108.68,6392.6,6520.8
-86.18808207,40.98346260,AULT,HOME,BACK LANE44,On,980.13,16.34,7/9/2020,Yes,808.65,15.50,2.114,35.00,106.76,109.29,6405.9,6557.5
-86.18808253,40.98347131,AULT,HOME,BACK LANE44,On,1009.1,16.82,7/9/2020,Yes,808.72,15.50,2.143,35.00,108.43,111.00,6505.9,6659.9
-86.18808278,40.98347955,AULT,HOME,BACK LANE44,On,927.02,15.45,7/9/2020,Yes,808.69,15.30,2.103,35.00,101.76,103.92,6105.4,6235.1
-86.18808288,40.98348828,AULT,HOME,BACK LANE44,On,922.07,15.37,7/9/2020,Yes,808.65,15.50,2.159,35.00,98.36,100.69,5901.5,6041.2
-86.18808305,40.98349707,AULT,HOME,BACK LANE44,On,1000.4,16.67,7/9/2020,Yes,808.64,16.00,2.096,35.00,109.25,112.50,6555.1,6750.2
-86.18808305,40.98350563,AULT,HOME,BACK LANE44,On,1023.7,17.06,7/9/2020,Yes,808.57,15.70,2.147,35.00,109.51,112.36,6570.3,6741.8
-86.18808307,40.98351430,AULT,HOME,BACK LANE44,On,1102.2,18.37,7/9/2020,Yes,808.53,15.40,2.141,35.00,118.70,121.37,7122.0,7282.0
-86.18808313,40.98352299,AULT,HOME,BACK LANE44,On,964.80,16.08,7/9/2020,Yes,808.43,15.60,2.125,35.00,104.42,107.02,6265.0,6420.9
-86.18808305,40.98353169,AULT,HOME,BACK LANE44,On,1056.8,17.61,7/9/2020,Yes,808.45,15.90,2.105,35.00,115.06,118.34,6903.5,7100.5
-86.18808320,40.98354028,AULT,HOME,BACK LANE44,On,1031.6,17.19,7/9/2020,Yes,808.37,15.60,2.134,35.00,111.18,113.95,6670.8,6836.8
-86.18808330,40.98354890,AULT,HOME,BACK LANE44,On,971.97,16.20,7/9/2020,Yes,808.33,15.20,2.112,35.00,106.36,108.50,6381.9,6509.8
-86.18808350,40.98355763,AULT,HOME,BACK LANE44,On,1050.9,17.51,7/9/2020,Yes,808.29,15.40,2.145,35.00,112.93,115.47,6776.1,6928.3
